target_id	length	eff_length	est_counts	tpm
CG14440-PA	957	824.595	35	0.287177
CG14440-PB	957	824.595	35	0.287177
CG14442-PA	3105	2972.59	386.905	0.880623
CG14442-PB	2859	2726.59	115.179	0.285808
CG14442-PC	3027	2894.59	208.151	0.486532
CG14442-PD	1590	1457.59	34.7371	0.161242
CG14442-PE	2877	2744.59	47.0284	0.115932
CG3184-PA	1071	938.595	81	0.583887
CG3198-PA	1317	1184.59	390	2.22749
CG3224-PA	489	356.595	332	6.29919
CG3226-PA	693	560.595	642	7.74833
CG4557-PA	2802	2669.59	983	2.49132
CG4558-PA	1143	1010.59	60.3794	0.404235
CG4558-PB	1158	1025.59	123.621	0.815524
CG14431-PB	3507	3374.59	1.5	0.0030074
CG14431-PC	3507	3374.59	1.5	0.0030074
CG14431-PD	3561	3428.59	0	0
CG4586-PA	2034	1901.59	7	0.0249059
Inx2-PA	1104	971.595	104.25	0.72596
Inx2-PB	1104	971.595	104.25	0.72596
Inx2-PC	1104	971.595	104.25	0.72596
Inx2-PD	1104	971.595	104.25	0.72596
CG32736-PA	240	110.819	18.5	1.12948
CG32736-PB	240	110.819	18.5	1.12948
CG4593-PA	630	497.595	169.5	2.30471
CG4593-PB	630	497.595	169.5	2.30471
CG14427-PA	759	626.595	0	0
nullo-PB	642	509.595	0	0
CG4607-PA	1578	1445.59	58	0.271458
CG4607-PB	1578	1445.59	58	0.271458
CG8300-PA	558	425.595	97	1.54205
fz4-PB	2118	1985.59	124.5	0.424229
fz4-PA	2118	1985.59	124.5	0.424229
CG4617-PA	1257	1124.59	292	1.75674
CG4617-PC	1257	1124.59	292	1.75674
CG4615-PA	942	809.595	433	3.61861
CG12541-PD	792	659.595	12.5	0.12822
CG12541-PE	792	659.595	12.5	0.12822
CG3032-PA	1296	1163.59	8	0.0465168
CG3032-PB	1296	1163.59	8	0.0465168
cm-PA	1248	1115.59	260.5	1.57988
cm-PB	1248	1115.59	260.5	1.57988
Inx7-PA	1317	1184.59	32	0.182769
ogre-PA	1089	956.595	307.333	2.17372
ogre-PB	1089	956.595	307.333	2.17372
ogre-PC	1089	956.595	307.333	2.17372
ogre-PD	1089	956.595	307.333	2.17372
ogre-PE	1089	956.595	307.333	2.17372
ogre-PF	1089	956.595	307.333	2.17372
CG3040-PA	717	584.595	240	2.77765
Setd3-PA	1614	1481.59	92	0.420127
CG14434-PA	564	431.595	2.82449e-08	4.42777e-10
CG14434-PB	564	431.595	2.82449e-08	4.42777e-10
CG14434-PC	645	512.595	76	1.00314
Cht11-PA	1299	1166.59	81	0.469772
CG14435-PA	912	779.595	70.5	0.611846
CG14435-PC	912	779.595	70.5	0.611846
CG9650-PI	3624	3491.59	0	0
CG9650-PG	3630	3497.59	0	0
CG9650-PJ	3423	3290.59	0	0
CG9650-PK	3765	3632.59	0	0
CG9650-PL	3642	3509.59	0	0
CG1958-PA	696	563.595	0	0
CG2059-PA	927	794.595	189.5	1.61356
CG2059-PB	927	794.595	189.5	1.61356
Dok-PA	1869	1736.59	67	0.261035
Acsf3-PB	1833	1700.59	3	0.0119355
CBP-PA	897	764.595	0	0
CBP-PB	696	563.595	0	0
CBP-PC	1656	1523.59	2	0.00888142
CG1999-PA	633	500.595	0	0
CG9657-PA	1806	1673.59	0.5	0.00202135
CG9657-PB	1806	1673.59	0.5	0.00202135
CG11368-PA	198	73.4009	5	0.460882
CG32726-PA	183	61.2806	0	0
CG32726-PB	183	61.2806	0	0
CG15036-PA	219	91.71	0	0
CG15035-PA	1125	992.595	0	0
CG15034-PA	315	183.356	0	0
CG15034-PB	315	183.356	0	0
Atg5-PA	810	677.595	126	1.25812
unc-119-PA	798	665.595	186	1.89071
unc-119-PC	798	665.595	186	1.89071
CG11369-PA	2004	1871.59	0	0
ct-PA	6528	6395.59	0.00770759	8.15379e-06
ct-PD	6498	6365.59	1.97888	0.00210331
ct-PE	6525	6392.59	0.0134079	1.41907e-05
Hira-PA	3144	3011.59	198	0.444826
CG12155-PA	1668	1535.59	191	0.841547
Rab39-PA	657	524.595	41.5	0.535237
Rab39-PB	657	524.595	41.5	0.535237
Tom40-PA	1035	902.595	82.6667	0.619668
Tom40-PB	1035	902.595	82.6667	0.619668
Tom40-PC	1035	902.595	82.6667	0.619668
Ir7a-PA	1845	1712.59	0	0
Pdp-PA	1428	1295.59	346.5	1.80949
Pdp-PB	1428	1295.59	346.5	1.80949
NELF-B-PA	1785	1652.59	169	0.691898
CG15478-PA	1659	1526.59	0	0
CG15478-PB	1659	1526.59	0	0
CG12689-PA	558	425.595	0	0
CG32720-PB	1011	878.595	0	0
CG32719-PA	3663	3530.59	73	0.139893
CG32718-PC	786	653.595	0	0
CG32718-PD	774	641.595	0	0
CG32718-PB	771	638.595	0	0
CARPA-PB	1002	869.595	0.5	0.00389023
CARPA-PC	1002	869.595	0.5	0.00389023
CG1409-PB	453	320.595	0	0
Ir7c-PA	1878	1745.59	0	0
Ir7c-PB	1878	1745.59	0	0
Ir7g-PB	1824	1691.59	2	0.00799936
p115-PA	2511	2378.59	776	2.20731
p115-PB	2511	2378.59	776	2.20731
bys-PA	1311	1178.59	285	1.63607
spidey-PA	966	833.595	744	6.03865
snz-PA	3354	3221.59	155	0.325524
snz-PB	3354	3221.59	155	0.325524
RpS14a-PB	456	323.595	2751.28	57.5248
RpS14a-PA	456	323.595	2751.28	57.5248
RpS14b-PA	456	323.595	2652.22	55.4536
RpS14b-PB	456	323.595	2652.22	55.4536
CG15330-PA	546	413.595	0	0
sn-PA	1539	1406.59	5	0.0240504
sn-PB	1539	1406.59	5	0.0240504
sn-PE	1539	1406.59	5	0.0240504
sn-PG	1539	1406.59	5	0.0240504
mys-PA	2541	2408.59	358.14	1.00603
mys-PB	2541	2408.59	25.5814	0.0718592
mys-PC	2541	2408.59	358.14	1.00603
mys-PD	2541	2408.59	358.14	1.00603
CG1571-PA	1956	1823.59	1	0.00371017
Gclc-PA	2154	2021.59	33.25	0.111281
Gclc-PB	2154	2021.59	33.25	0.111281
Gclc-PC	2154	2021.59	33.25	0.111281
Gclc-PD	2154	2021.59	33.25	0.111281
CG2258-PB	2406	2273.59	9.25	0.0275265
CG2258-PC	2406	2273.59	9.25	0.0275265
CG2258-PA	2406	2273.59	9.25	0.0275265
CG2258-PD	2406	2273.59	9.25	0.0275265
UbcE2H-PA	552	419.595	115.333	1.85972
UbcE2H-PC	552	419.595	115.333	1.85972
UbcE2H-PB	552	419.595	115.333	1.85972
CG2256-PC	975	842.595	2	0.0160595
Ldsdh1-PA	963	830.595	209	1.70247
Upf2-PA	3726	3593.59	481	0.905603
fs(1)h-PA	3333	3200.59	5.29569	0.0111947
fs(1)h-PB	6117	5984.59	529.429	0.598542
fs(1)h-PC	3333	3200.59	5.29569	0.0111947
fs(1)h-PD	3333	3200.59	5.29569	0.0111947
fs(1)h-PE	3333	3200.59	5.29569	0.0111947
fs(1)h-PF	3333	3200.59	5.29569	0.0111947
fs(1)h-PG	6141	6008.59	121.278	0.136562
fs(1)h-PH	3318	3185.59	53.6892	0.11403
fs(1)h-PI	3348	3215.59	23.1261	0.0486589
CG2233-PA	1245	1112.59	12	0.0729736
CG15333-PA	1629	1496.59	0	0
sws-PA	4278	4145.59	237.02	0.386829
sws-PB	1026	893.595	54.86	0.415372
sws-PC	4278	4145.59	196.046	0.319958
CG15332-PA	1716	1583.59	0	0
orion-PA	1995	1862.59	29.4903	0.107123
orion-PB	1941	1808.59	426.51	1.59555
Dhdds-PA	903	770.595	154.5	1.35651
Dhdds-PB	903	770.595	154.5	1.35651
mahe-PB	2838	2705.59	182	0.455125
mahe-PC	2838	2705.59	182	0.455125
hdm-PA	1461	1328.59	0	0
dpr14-PA	1023	890.595	1	0.00759699
dpr14-PB	1023	890.595	1	0.00759699
ND-MNLL-PA	171	51.9363	101	13.1575
ND-MNLL-PB	171	51.9363	101	13.1575
ND-MNLL-PE	171	51.9363	101	13.1575
ND-MNLL-PC	171	51.9363	101	13.1575
ND-MNLL-PD	171	51.9363	101	13.1575
Nek2-PA	2208	2075.59	1	0.00325971
CG10932-PA	1233	1100.59	91.5	0.562491
CG10932-PB	1233	1100.59	91.5	0.562491
Ir7b-PB	1968	1835.59	0	0
CG10920-PA	1194	1061.59	0	0
CG1575-PA	1914	1781.59	55	0.20887
CG1575-PB	1914	1781.59	55	0.20887
CG2116-PA	1797	1664.59	346	1.40634
CG10958-PA	2232	2099.59	52	0.167567
CG2120-PB	948	815.595	5	0.041478
CG2129-PA	1398	1265.59	78	0.416986
CG15336-PD	480	347.595	1	0.0194647
CG10959-PA	1332	1199.59	25	0.141003
CG10959-PB	1326	1193.59	0	0
CG18262-PA	1410	1277.59	71	0.375999
GIIIspla2-PB	654	521.595	19	0.246458
GIIIspla2-PC	654	521.595	19	0.246458
CG15337-PA	1218	1085.59	0	0
CG2147-PA	498	365.595	713	13.1951
Trxr-1-PA	1476	1343.59	1026.65	5.16982
Trxr-1-PB	1791	1658.59	275.754	1.12487
Trxr-1-PC	1527	1394.59	7.45348	0.0361603
Trxr-1-PD	1578	1445.59	12.1424	0.0568303
CG1632-PA	3171	3038.59	0	0
CG1632-PB	3171	3038.59	0	0
CG1636-PA	1149	1016.59	368	2.44919
CG1636-PB	1101	968.595	0	0
CG1636-PC	1149	1016.59	368	2.44919
CG1387-PA	2868	2735.59	0	0
CG10555-PA	2781	2648.59	112.53	0.287457
CG10555-PB	2781	2648.59	112.53	0.287457
PIG-T-PA	1902	1769.59	932	3.56339
nAChRalpha3-PB	2388	2255.59	0	0
nAChRalpha3-PC	2388	2255.59	0	0
CG15343-PA	642	509.595	237	3.14663
Corp-PA	642	509.595	1	0.0132769
Corp-PB	642	509.595	1	0.0132769
ND-75-PA	2196	2063.59	1236	4.05243
ND-75-PB	2196	2063.59	1236	4.05243
sni-PA	744	611.595	116.5	1.2888
sni-PB	744	611.595	116.5	1.2888
CG2278-PA	1803	1670.59	0	0
CG2278-PC	1803	1670.59	0	0
CG2278-PB	1968	1835.59	51	0.187982
Or7a-PA	1242	1109.59	3	0.0182927
CG10761-PA	972	839.595	0	0
Gbeta5-PA	1077	944.595	66	0.472738
alpha-PheRS-PA	1497	1364.59	1198	5.93984
CG17982-PA	906	773.595	37.5	0.327974
CG17982-PB	906	773.595	37.5	0.327974
Smox-PA	1461	1328.59	168.5	0.858083
Smox-PB	1461	1328.59	168.5	0.858083
cyr-PB	1542	1409.59	3.5	0.0167995
cyr-PC	1542	1409.59	3.5	0.0167995
cyr-PD	1365	1232.59	0	0
CG2260-PA	1830	1697.59	143	0.569933
CG1440-PA	1467	1334.59	3369.17	17.0803
CG1440-PB	1107	974.595	294.459	2.0442
CG1440-PC	1536	1403.59	0	0
CG1440-PD	1656	1523.59	755.366	3.35436
Es2-PA	1506	1373.59	115	0.566449
Cp7Fb-PA	1503	1370.59	0	0
Cp7Fb-PB	420	287.595	1	0.0235256
Cp7Fc-PA	966	833.595	0	0
Cp36-PA	855	722.595	0	0
Cp38-PA	921	788.595	0	0
Cp38-PB	921	788.595	0	0
CG33181-PC	2091	1958.59	424.15	1.4652
CG33181-PD	2040	1907.59	0	0
CG33181-PE	1581	1448.59	0	0
CG33181-PF	2091	1958.59	424.15	1.4652
CG33181-PG	2091	1958.59	424.15	1.4652
CG33181-PJ	1653	1520.59	115.402	0.513477
CG33181-PH	2091	1958.59	424.15	1.4652
CG33181-PI	2013	1880.59	0	0
Trf4-1-PC	3006	2873.59	79.6	0.187417
Trf4-1-PE	3006	2873.59	79.6	0.187417
Trf4-1-PF	2409	2276.59	0	0
Trf4-1-PG	2409	2276.59	0	0
Trf4-1-PH	3006	2873.59	79.6	0.187417
Trf4-1-PI	3006	2873.59	79.6	0.187417
Trf4-1-PJ	3006	2873.59	79.6	0.187417
CG12065-PA	2064	1931.59	33.7554	0.118236
CG12065-PB	2064	1931.59	33.7554	0.118236
CG12065-PC	1926	1793.59	25.3723	0.0957099
CG12065-PD	1926	1793.59	25.3723	0.0957099
CG12065-PE	1926	1793.59	25.3723	0.0957099
CG12065-PF	1926	1793.59	25.3723	0.0957099
CG12065-PG	2121	1988.59	0	0
CG12081-PA	1212	1079.59	230.5	1.44455
CG12081-PB	1212	1079.59	230.5	1.44455
Crag-PA	5016	4883.59	330.984	0.458552
Crag-PB	4935	4802.59	65.0322	0.0916166
Crag-PD	5016	4883.59	330.984	0.458552
Rubicon-PA	2484	2351.59	83	0.238802
Rubicon-PB	2484	2351.59	83	0.238802
CAH3-PA	753	620.595	492	5.36388
CAH3-PB	753	620.595	492	5.36388
CAH3-PC	753	620.595	492	5.36388
CAH3-PD	753	620.595	492	5.36388
CAH3-PE	753	620.595	492	5.36388
Ogg1-PA	1032	899.595	90	0.676889
CG11294-PA	786	653.595	0	0
CG11294-PB	786	653.595	0	0
Ppt1-PA	945	812.595	114	0.949189
Ppt1-PB	945	812.595	114	0.949189
Caf1-180-PB	3552	3419.59	115	0.227533
CG12659-PC	333	201.108	17	0.571927
spirit-PB	1182	1049.59	0	0
spirit-PA	1182	1049.59	0	0
spirit-PC	1182	1049.59	0	0
spirit-PD	1182	1049.59	0	0
CG12111-PA	567	434.595	0	0
CG12111-PB	567	434.595	0	0
CG12112-PA	606	473.595	47	0.671449
CG12112-PB	591	458.595	0	0
IntS4-PA	3069	2936.59	400	0.92159
PIP82-PA	3588	3455.59	7	0.0137056
otu-PA	2436	2303.59	1.20748	0.00354648
otu-PB	2562	2429.59	3.18877	0.00887997
otu-PC	2562	2429.59	3.18877	0.00887997
otu-PD	2436	2303.59	1.20748	0.00354648
otu-PE	2436	2303.59	1.20748	0.00354648
CG33223-PA	555	422.595	0	0
CG33223-PB	555	422.595	0	0
CG12116-PA	822	689.595	1	0.00981133
Sptr-PA	786	653.595	314	3.25045
CG15347-PA	645	512.595	215.23	2.84087
CG15347-PB	690	557.595	18.7695	0.227749
CG32713-PA	555	422.595	0	0
CG32713-PB	555	422.595	0	0
org-1-PA	2100	1967.59	0	0
org-1-PB	2100	1967.59	0	0
CG12123-PA	657	524.595	34	0.438507
Miga-PA	1578	1445.59	18.3333	0.0858058
Miga-PB	1578	1445.59	18.3333	0.0858058
Miga-PC	1578	1445.59	18.3333	0.0858058
CG32712-PB	552	419.595	0	0
Hexo2-PA	1869	1736.59	6779	26.4112
CG1785-PA	1437	1304.59	1389	7.20358
CG1789-PA	714	581.595	188	2.18705
CG12075-PA	3021	2888.59	118.5	0.277558
CG12075-PB	3021	2888.59	118.5	0.277558
CG12075-PC	3021	2888.59	118.5	0.277558
CG12075-PD	2985	2852.59	0	0
CG12075-PE	3021	2888.59	118.5	0.277558
Rbm13-PA	1032	899.595	169.5	1.27481
Rbm13-PB	1032	899.595	169.5	1.27481
CG10962-PB	750	617.595	182.166	1.99566
CG12662-PA	516	383.595	0	0
CG12662-PB	591	458.595	0	0
CG12661-PA	396	263.65	0	0
CG12661-PB	396	263.65	0	0
e(r)-PA	315	183.356	175.8	6.48701
e(r)-PB	315	183.356	175.8	6.48701
e(r)-PC	315	183.356	175.8	6.48701
e(r)-PD	315	183.356	175.8	6.48701
e(r)-PE	315	183.356	175.8	6.48701
Uros1-PA	834	701.595	24.5	0.236266
Uros1-PB	834	701.595	24.5	0.236266
Moe-PA	1923	1790.59	0	0
Moe-PC	1539	1406.59	0.0385321	0.000185343
Moe-PE	1728	1595.59	590.075	2.50211
Moe-PF	1728	1595.59	590.075	2.50211
Moe-PG	1728	1595.59	590.075	2.50211
Moe-PH	1728	1595.59	590.075	2.50211
Moe-PI	1728	1595.59	590.075	2.50211
Moe-PJ	1737	1604.59	701.59	2.95828
Moe-PD	1728	1595.59	590.075	2.50211
Moe-PB	1950	1817.59	70.9207	0.263996
Moe-PM	1755	1622.59	10.3807	0.043285
Moe-PK	1941	1808.59	62.0325	0.23206
Moe-PL	1737	1604.59	701.59	2.95828
Lim1-PA	1518	1385.59	0	0
Lim1-PB	1044	911.595	1	0.00742198
l(1)G0020-PA	3027	2894.59	177	0.413721
l(1)G0020-PB	2904	2771.59	0	0
CG2004-PA	1278	1145.59	285.6	1.68674
CG2004-PC	1278	1145.59	285.6	1.68674
CG2004-PD	1278	1145.59	285.6	1.68674
CG2004-PF	1278	1145.59	285.6	1.68674
CG2004-PG	1278	1145.59	285.6	1.68674
HP1b-PA	723	590.595	78.6667	0.901204
HP1b-PC	723	590.595	78.6667	0.901204
HP1b-PB	723	590.595	78.6667	0.901204
APC4-PA	2328	2195.59	80.745	0.24882
APC4-PC	2322	2189.59	45.255	0.139838
CG32708-PA	720	587.595	197	2.26835
CG32706-PA	693	560.595	15.7966	0.190649
CG6999-PA	702	569.595	5.20343	0.0618082
CCT2-PA	1608	1475.59	589	2.70066
Arfrp1-PA	603	470.595	321	4.61509
AP-1gamma-PB	2931	2798.59	0	0
AP-1gamma-PA	2892	2759.59	184.168	0.451534
AP-1gamma-PD	2949	2816.59	0	0
AP-1gamma-PC	2910	2777.59	36.5799	0.0891037
AP-1gamma-PE	2892	2759.59	184.168	0.451534
AP-1gamma-PG	2892	2759.59	184.168	0.451534
AP-1gamma-PH	2910	2777.59	36.5799	0.0891037
AP-1gamma-PF	2892	2759.59	184.168	0.451534
AP-1gamma-PI	2892	2759.59	184.168	0.451534
CG7065-PA	3696	3563.59	316	0.599958
Bap111-PA	2250	2117.59	932	2.9778
Dlip1-PA	528	395.595	67.0075	1.14603
Dlip1-PB	531	398.595	19.9925	0.339358
mei-P26-PA	3570	3437.59	0	0
mei-P26-PE	3621	3488.59	16.6617	0.032314
mei-P26-PB	3570	3437.59	0	0
mei-P26-PC	3621	3488.59	16.6617	0.032314
mei-P26-PD	3570	3437.59	0	0
mei-P26-PF	3933	3800.59	123.677	0.22017
CG12057-PA	660	527.595	1	0.0128239
CG12057-PB	660	527.595	1	0.0128239
CG12056-PA	864	731.595	555	5.13268
CG12106-PA	636	503.595	20	0.268702
Obp8a-PA	492	359.595	2049	38.5523
CG15368-PA	489	356.595	58	1.10046
CG15369-PA	369	236.675	3	0.0857613
CG15369-PB	369	236.675	3	0.0857613
CG15370-PA	1113	980.595	1	0.00689973
Gr8a-PA	1158	1025.59	12	0.0791639
Dsor1-PA	1191	1058.59	181.987	1.16314
Dsor1-PB	1182	1049.59	176.013	1.1346
CG17754-PC	1965	1832.59	49.9737	0.1845
CG17754-PD	1878	1745.59	98.0263	0.379945
CG17754-PA	1965	1832.59	49.9737	0.1845
CG17754-PE	1653	1520.59	0	0
CG17754-PF	1878	1745.59	98.0263	0.379945
CG17754-PG	1956	1823.59	0	0
ric8a-PA	1722	1589.59	76.5	0.325609
ric8a-PB	1722	1589.59	76.5	0.325609
Aladin-PB	1401	1268.59	44	0.234667
Aladin-PA	1401	1268.59	44	0.234667
lz-PA	2481	2348.59	0	0
lz-PB	2118	1985.59	0	0
c12.2-PA	4161	4028.59	384	0.64491
c12.2-PB	4212	4079.59	0	0
c12.1-PA	780	647.595	216	2.25669
c11.1-PA	5229	5096.59	307	0.407549
c11.1-PB	5229	5096.59	307	0.407549
Cfp1-PA	1992	1859.59	0	0
Cfp1-PB	1932	1799.59	113	0.42484
CG17440-PA	1101	968.595	9	0.0628669
Erk7-PA	2751	2618.59	4.74323	0.0122554
Erk7-PB	2751	2618.59	4.74323	0.0122554
Erk7-PC	1356	1223.59	4.51355	0.0249576
amx-PA	855	722.595	106.5	0.997187
amx-PB	855	722.595	106.5	0.997187
Ir8a-PA	2811	2678.59	0	0
CG12121-PA	2217	2084.59	4351	14.1218
SmydA-9-PA	1503	1370.59	174	0.858938
SmydA-9-PB	1503	1370.59	174	0.858938
CG12118-PA	855	722.595	83.5	0.781832
CG12118-PB	855	722.595	83.5	0.781832
CG12115-PA	792	659.595	0	0
Zpr1-PA	1374	1241.59	320	1.74378
CG9034-PA	234	105.193	241	15.5008
CG9034-PB	234	105.193	241	15.5008
Ost48-PA	1350	1217.59	10906	60.6017
fh-PA	573	440.595	59	0.906013
fend-PB	966	833.595	20	0.162329
fend-PC	966	833.595	20	0.162329
Bx42-PA	1644	1511.59	348.5	1.55987
Bx42-PB	1644	1511.59	348.5	1.55987
CG7766-PA	3744	3611.59	157.236	0.294561
CG7766-PB	3747	3614.59	0	0
CG7766-PG	4017	3884.59	0	0
CG7766-PH	4077	3944.59	621.336	1.06573
CG7766-PC	3918	3785.59	304.363	0.543975
CG7766-PD	3684	3551.59	30.0651	0.0572744
CG7766-PI	3633	3500.59	0	0
CG7246-PA	1809	1676.59	113	0.456008
CG10970-PA	312	180.429	0	0
CG10970-PB	312	180.429	0	0
CG15365-PA	2466	2333.59	3.49996	0.0101475
CG15365-PB	2487	2354.59	8.97425e-05	2.57872e-07
CG15365-PC	2466	2333.59	3.49996	0.0101475
BCL7-like-PA	465	332.595	42	0.854389
RpS28b-PA	198	73.4009	5991.5	552.275
RpS28b-PB	198	73.4009	5991.5	552.275
Hex-A-PA	1626	1493.59	817	3.70093
Hex-A-PB	1347	1214.59	0	0
Hex-A-PC	1347	1214.59	0	0
Gga-PB	1983	1850.59	525	1.91942
LysRS-PA	1725	1592.59	1209.07	5.1365
LysRS-PB	1824	1691.59	113.466	0.453828
LysRS-PC	1824	1691.59	113.466	0.453828
LPCAT-PB	1602	1469.59	509	2.34338
Cubn-PB	11253	11120.6	1338	0.814048
CG15317-PA	582	449.595	88	1.32429
l(1)G0320-PA	909	776.595	2788	24.2896
l(1)G0320-PB	909	776.595	2788	24.2896
btd-PA	1935	1802.59	0	0
Sp1-PB	1563	1430.59	0	0
Sp1-PD	2148	2015.59	0	0
Sp1-PE	2163	2030.59	0	0
Sp1-PF	2181	2048.59	0	0
CARPB-PA	984	851.595	8.75	0.0695179
CARPB-PC	984	851.595	8.75	0.0695179
CARPB-PB	984	851.595	8.75	0.0695179
CARPB-PD	984	851.595	8.75	0.0695179
Idgf4-PA	1329	1196.59	73	0.41276
Idgf4-PB	1329	1196.59	73	0.41276
Idgf4-PC	1329	1196.59	73	0.41276
CG3106-PA	2229	2096.59	8	0.0258165
CG3106-PB	2229	2096.59	8	0.0258165
CG1889-PA	999	866.595	0	0
CG1889-PC	999	866.595	0	0
CG1889-PD	1017	884.595	0	0
CG1889-PE	300	168.587	0	0
CG32694-PB	1095	962.595	0	0
CG32694-PA	1050	917.595	3.44732e-08	2.54186e-10
CG32694-PC	1050	917.595	3.44732e-08	2.54186e-10
CG32694-PH	504	371.595	1.70402	0.0310261
CG32694-PE	564	431.595	4.65634	0.0729945
CG32694-PF	1035	902.595	9.63964	0.0722586
CG32694-PG	588	455.595	0	0
CG2990-PB	3303	3170.59	0.739683	0.00157844
CG2990-PC	3300	3167.59	2.26032	0.00482794
Yp1-PA	1320	1187.59	0	0
Yp1-PB	1320	1187.59	0	0
Gr9a-PA	1026	893.595	3	0.0227145
CG15312-PB	1233	1100.59	13.484	0.0828918
CG15312-PC	1233	1100.59	13.484	0.0828918
CG15312-PA	1233	1100.59	13.484	0.0828918
CG15312-PD	1395	1262.59	62.0642	0.332582
CG15312-PE	1245	1112.59	0	0
CG15312-PF	1233	1100.59	13.484	0.0828918
Yp2-PA	1329	1196.59	2.5	0.0141356
Yp2-PB	1329	1196.59	2.5	0.0141356
CG15252-PB	1704	1571.59	1	0.00430508
CG15252-PC	1764	1631.59	0	0
CG1791-PA	1005	872.595	0	0
CG1791-PB	588	455.595	0	0
CG1791-PC	1002	869.595	0	0
CG2972-PA	1419	1286.59	254	1.33571
CG2972-PB	1419	1286.59	254	1.33571
CG12645-PB	621	488.595	0	0
CG12645-PC	609	476.595	0	0
ATPsyndelta-PA	474	341.595	638.667	12.6498
ATPsyndelta-PB	474	341.595	638.667	12.6498
ATPsyndelta-PC	474	341.595	638.667	12.6498
CG2909-PA	1518	1385.59	44	0.214851
CG17841-PA	1290	1157.59	1239.5	7.24456
CG17841-PB	1290	1157.59	1239.5	7.24456
CG2898-PA	1056	923.595	29	0.212441
flw-PA	1386	1253.59	4.06119	0.0219188
flw-PB	993	860.595	0	0
flw-PC	993	860.595	0	0
flw-PD	1020	887.595	896.939	6.83707
RabX2-PA	588	455.595	0	0
CG2889-PA	1746	1613.59	87	0.364793
CG2889-PB	1746	1613.59	87	0.364793
PPP4R2r-PA	1830	1697.59	234.151	0.933219
PPP4R2r-PB	1830	1697.59	234.151	0.933219
PPP4R2r-PC	1830	1697.59	234.151	0.933219
PPP4R2r-PD	1569	1436.59	300.547	1.41547
CG32687-PA	1134	1001.59	38.5	0.26007
CG32687-PB	1134	1001.59	38.5	0.26007
CG2887-PA	1029	896.595	1	0.00754615
Or9a-PA	1179	1046.59	2	0.0129292
CG32683-PA	2415	2282.59	18	0.0533538
CG32683-PB	2415	2282.59	18	0.0533538
CG12640-PA	348	215.876	14	0.438779
Psf3-PA	639	506.595	13	0.173622
Psf3-PB	639	506.595	13	0.173622
Psf3-PC	639	506.595	13	0.173622
CG32681-PA	4521	4388.59	56	0.0863345
CG32686-PA	2160	2027.59	0	0
CG32686-PB	3249	3116.59	44	0.0955199
CG32679-PA	765	632.595	3	0.0320861
l(1)G0289-PA	1878	1745.59	136	0.527129
l(1)G0289-PB	1878	1745.59	136	0.527129
l(1)G0289-PC	1878	1745.59	136	0.527129
CG15306-PA	1074	941.595	0	0
CG15306-PB	1074	941.595	0	0
Gip-PA	795	662.595	670	6.84146
CG12643-PA	234	105.193	18	1.15773
CG2961-PA	1050	917.595	0	0
CG2961-PB	1050	917.595	0	0
CG2961-PC	1050	917.595	0	0
CG15308-PB	288	156.834	0	0
CG15308-PC	249	119.236	0	0
CG2962-PA	1131	998.595	0	0
Ypel-PA	345	212.983	17.2	0.546394
Ypel-PB	345	212.983	17.2	0.546394
Ypel-PC	345	212.983	17.2	0.546394
Ypel-PD	345	212.983	17.2	0.546394
Ypel-PE	345	212.983	17.2	0.546394
Naxe-PB	693	560.595	22	0.265519
ZAP3-PC	5655	5522.59	1188.14	1.45561
ZAP3-PD	3882	3749.59	28.3989	0.0512436
ZAP3-PE	5658	5525.59	72.83	0.0891771
ZAP3-PF	3777	3644.59	349.633	0.64906
Rab9D-PA	594	461.595	7.93333	0.116283
CG2124-PA	1890	1757.59	22	0.0846887
CG2111-PA	2796	2663.59	3992	10.1401
X11Lbeta-PA	6420	6287.59	0	0
X11Lbeta-PD	6201	6068.59	19.0022	0.0211854
X11Lbeta-PE	6390	6257.59	0	0
ras-PC	1614	1481.59	0	0
ras-PA	1614	1481.59	0	0
ras-PE	1614	1481.59	0	0
ras-PD	1614	1481.59	0	0
ras-PF	1773	1640.59	816	3.3652
BTBD9-PA	2169	2036.59	94	0.312281
BTBD9-PB	2169	2036.59	94	0.312281
Atg8a-PA	366	233.675	3115.66	90.2112
Atg8a-PB	291	159.787	641.504	27.1631
Atg8a-PC	324	192.206	22.8375	0.803902
Tango5-PB	1287	1154.59	0	0
Tango5-PA	1593	1460.59	423	1.95944
Tango5-PC	1593	1460.59	423	1.95944
Tango5-PD	1593	1460.59	423	1.95944
Tango5-PF	1593	1460.59	423	1.95944
Tango5-PE	1593	1460.59	423	1.95944
Rph-PA	1917	1784.59	0	0
Rph-PB	1206	1073.59	0	0
Rph-PC	1563	1430.59	3	0.0141882
Rph-PD	1206	1073.59	0	0
stx-PA	3369	3236.59	292.5	0.611448
stx-PB	3369	3236.59	292.5	0.611448
CG12637-PA	879	746.595	0	0
Rab9E-PA	594	461.595	0	0
CG9806-PA	2736	2603.59	4353	11.3119
Rab9Db-PA	594	461.595	9.06667	0.132895
CG1628-PB	1380	1247.59	35.1055	0.190381
CG1628-PC	918	785.595	34.8945	0.300525
Hmr-PB	4242	4109.59	163	0.268355
CG15296-PA	510	377.595	0.5	0.00895913
CG15296-PB	510	377.595	0.5	0.00895913
CG15225-PB	678	545.595	0	0
CAH14-PB	888	755.595	0	0
